title;rating;score;director
A Queda! As Últimas Horas de Hitler;A Queda! As Últimas Horas de Hitler;A Queda! As Últimas Horas de Hitler;A Queda! As Últimas Horas de Hitler
Dangal;Dangal;Dangal;Dangal
Por uns Dólares a Mais;Por uns Dólares a Mais;Por uns Dólares a Mais;Por uns Dólares a Mais
Batman Begins;Batman Begins;Batman Begins;Batman Begins
Top Gun: Maverick;Top Gun: Maverick;Top Gun: Maverick;Top Gun: Maverick
Quanto Mais Quente Melhor;Quanto Mais Quente Melhor;Quanto Mais Quente Melhor;Quanto Mais Quente Melhor
O Garoto;O Garoto;O Garoto;O Garoto
O Lobo de Wall Street;O Lobo de Wall Street;O Lobo de Wall Street;O Lobo de Wall Street
Meu Pai;Meu Pai;Meu Pai;Meu Pai
Green Book: O Guia;Green Book: O Guia;Green Book: O Guia;Green Book: O Guia
A Malvada;A Malvada;A Malvada;A Malvada
Julgamento em Nuremberg;Julgamento em Nuremberg;Julgamento em Nuremberg;Julgamento em Nuremberg
O Show de Truman: O Show da Vida;O Show de Truman: O Show da Vida;O Show de Truman: O Show da Vida;O Show de Truman: O Show da Vida
Sangue Negro;Sangue Negro;Sangue Negro;Sangue Negro
Cassino;Cassino;Cassino;Cassino
Ran;Ran;Ran;Ran
Ilha do Medo;Ilha do Medo;Ilha do Medo;Ilha do Medo
O Labirinto do Fauno;O Labirinto do Fauno;O Labirinto do Fauno;O Labirinto do Fauno
O Sexto Sentido;O Sexto Sentido;O Sexto Sentido;O Sexto Sentido
Jurassic Park;Jurassic Park;Jurassic Park;Jurassic Park
Os Imperdoáveis;Os Imperdoáveis;Os Imperdoáveis;Os Imperdoáveis
Uma Mente Brilhante;Uma Mente Brilhante;Uma Mente Brilhante;Uma Mente Brilhante
O Tesouro da Sierra Madre;O Tesouro da Sierra Madre;O Tesouro da Sierra Madre;O Tesouro da Sierra Madre
